accessed date,accessed datetime,time,time (bin),Day of the month,Day of the Week,Day Name,Weekend,Month,Month Name,SDoH,PHQ9,CAGE-AID,GAD7,Total Websites,SDoH Percentage,PHQ9 Percentage,CAGE-AID Percentage,GAD7 Percentage
1/28/2025,2025-01-28T19:51:52.6025230,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:52:03.5857580,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:53:17.6619980,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:53:38.7876470,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,3,0,0,0,0
1/28/2025,2025-01-28T19:54:01.4565950,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:54:02.2067990,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:54:02.9798040,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:54:03.6595440,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:55:35.3878290,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:55:35.6566910,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:56:42.8768670,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:56:43.1697880,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T20:10:06.7769390,20,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T20:16:45.0906370,20,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
