accessed datetime,year,month name,month number,day of month,weekday number,weekday name,weekend (y/n),hour,Hour (bins),Hour (for bin use),PHQ-9 (Sum by day),GAD-7 (Sum by day),SDoH (Sum by day),CAGE-AID (Sum by day),Total Websites (Sum by day),PHQ-9 Daily Sum / Website Sum,SDoH Daily Sum / Website Sum,GAD-7 Daily Sum / Website Sum,CAGE-AID Daily Sum / Website Sum
2025-04-24T00:05:47.0060000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:48.4930000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:56.1870000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:59.3460000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:00.5360000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:09.2570000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:11.0450000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:12.2780000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:17.5920000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:23.0430000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:28.1470000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:41.0580000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:45.4130000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:06:48.3760000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.6,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:02.0980000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:23.9860000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:26.3220000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:27.5370000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:34.3560000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:40.4270000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:44.1220000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:53.3940000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:07:54.7390000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.7,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:00.2280000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:16.9570000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:17.9910000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:19.0690000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:23.9100000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:26.2680000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:30.3510000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:36.3620000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:08:38.1740000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.8,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:31.4330000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:33.2390000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:36.4930000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:40.1060000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:41.9900000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:49.5060000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:09:51.9060000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.9,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:10.9820000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:15.7330000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:17.0950000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:18.5050000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:26.1150000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:34.9740000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:37.3540000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:10:50.7200000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.1,0,0,0,0,1,0,0,0,0
2025-04-24T00:11:05.0180000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.11,0,0,0,0,1,0,0,0,0
2025-04-24T00:11:10.7750000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.11,0,0,0,0,1,0,0,0,0
2025-04-24T00:11:13.2570000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.11,0,0,0,0,1,0,0,0,0
2025-04-24T00:13:17.0370000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.13,0,0,0,0,1,0,0,0,0
2025-04-24T00:13:42.7740000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.13,0,0,0,0,1,0,0,0,0
2025-04-24T00:14:29.9750000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.14,0,0,0,0,1,0,0,0,0
2025-04-24T00:14:32.6560000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.14,0,0,0,0,1,0,0,0,0
2025-04-24T00:14:33.9020000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.14,0,0,0,0,1,0,0,0,0
2025-04-24T00:14:39.1850000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.14,0,0,0,0,1,0,0,0,0
2025-04-24T00:14:41.7330000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.14,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:01.5630000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
